tweet_id,created_at,text,likes,retweets,replies,Text_original,Text_en
2005321229667025233,Sun Dec 28 16:53:32 +0000 2025,"العمل من أجل الشعب لايحتاج الى ضجيجاً ،
يحتاج إخلاصاً ، تخطيطاً ، وهدوءاً  في القرار .",28,1,3,"العمل من أجل الشعب لايحتاج الى ضجيجاً ،
يحتاج إخلاصاً ، تخطيطاً ، وهدوءاً  في القرار .","Working for the people does not require noise.
It requires sincerity, planning, and calm decision-making."
2002360772119163256,Sat Dec 20 12:49:44 +0000 2025,"في الأوقات الحساسة، لا تكون الحكمة في رفع الصوت ،
بل في خفض حدّة الخلاف وتقديم #مصلحة_الدولة على كل اعتبار .",24,1,5,"في الأوقات الحساسة، لا تكون الحكمة في رفع الصوت ،
بل في خفض حدّة الخلاف وتقديم #مصلحة_الدولة على كل اعتبار .","In sensitive times, it is not wise to raise your voice.
Rather, it is about reducing the intensity of the dispute and putting the #interest_of_the_state ahead of all considerations."
2000862938479878492,Tue Dec 16 09:37:53 +0000 2025,"ليس المهم من ينتصر في الجدل السياسي،
المهم أن ينتصر #العراق على أزماته المتراكمة .",34,2,10,"ليس المهم من ينتصر في الجدل السياسي،
المهم أن ينتصر #العراق على أزماته المتراكمة .","It is not important who wins the political debate.
The important thing is for #Iraq to triumph over its accumulated crises."
1999020896816914630,Thu Dec 11 07:38:16 +0000 2025,"عن الرسول الأعظم (ص) :
"" مَنْ زَارَ قَبْرِي بَعْدَ مَوْتِي كَانَ كَمَنْ هَاجَرَ إِلَيَّ فِي حَيَاتِي، فَإِنْ لَمْ تَسْتَطِيعُوا فَابْعَثُوا إِلَيَّ بِالسَّلَامِ، فَإِنَّهُ يَبْلُغُنِي..""

#صبحكم الله بالخير",20,2,2,"عن الرسول الأعظم (ص) :
"" مَنْ زَارَ قَبْرِي بَعْدَ مَوْتِي كَانَ كَمَنْ هَاجَرَ إِلَيَّ فِي حَيَاتِي، فَإِنْ لَمْ تَسْتَطِيعُوا فَابْعَثُوا إِلَيَّ بِالسَّلَامِ، فَإِنَّهُ يَبْلُغُنِي..""

#صبحكم الله بالخير","On the authority of the Greatest Messenger (PBUH):
“Whoever visits my grave after my death is as if he had migrated to me during my lifetime. If you are not able to, then send me your greetings, for he will convey my knowledge.”

#May God bless you with goodness"
1993963674843685062,Thu Nov 27 08:42:40 +0000 2025,"روي عن رسول الله ( صلى الله عليه وآله وسلم ) : 
فاطمة بهجة قلبي ، وابناها ثمرة فؤادي ، وبعلها نور بصري ، والأئمة من ولدها امناء ربي وحبل ممدود بينه وبين خلقه ، من اعتصم بهم نجا ، ومن تخلف عنهم هوى . https://t.co/hkKVYwjdyE",34,3,3,"روي عن رسول الله ( صلى الله عليه وآله وسلم ) : 
فاطمة بهجة قلبي ، وابناها ثمرة فؤادي ، وبعلها نور بصري ، والأئمة من ولدها امناء ربي وحبل ممدود بينه وبين خلقه ، من اعتصم بهم نجا ، ومن تخلف عنهم هوى . https://t.co/hkKVYwjdyE","It was narrated on the authority of the Messenger of God (may God’s prayers and peace be upon him and his family): 
Fatima is the joy of my heart, her two sons are the fruit of my heart, her husband is the light of my sight, and the imams from her children are trustworthy to my Lord and a rope stretched between Him and His creation. Whoever adheres to them is saved, and whoever abandons them falls in love. https://t.co/hkKVYwjdyE"
1992964623922762048,Mon Nov 24 14:32:48 +0000 2025,https://t.co/Y1LcF0AAbL,45,6,5,https://t.co/Y1LcF0AAbL,https://t.co/Y1LcF0AAbL
1992714388281721311,Sun Nov 23 21:58:27 +0000 2025,"رؤية مقترحة للإصلاح
دراسة عن الوضع المائي في العراق
 
مقدمة
يواجه العراق، بوصفه دولة مصب نهري دجلة والفرات، أزمة مائية مركبة تُعدّ من أخطر التحديات الوطنية التي تهدد الأمن الاقتصادي والاجتماعي والصحي.
هذه الأزمة ناتجة عن تضافر عوامل إقليمية (تقليص الإطلاقات المائية من دول المنبع) https://t.co/WSgZrUtQr8",30,2,8,"رؤية مقترحة للإصلاح
دراسة عن الوضع المائي في العراق
 
مقدمة
يواجه العراق، بوصفه دولة مصب نهري دجلة والفرات، أزمة مائية مركبة تُعدّ من أخطر التحديات الوطنية التي تهدد الأمن الاقتصادي والاجتماعي والصحي.
هذه الأزمة ناتجة عن تضافر عوامل إقليمية (تقليص الإطلاقات المائية من دول المنبع) https://t.co/WSgZrUtQr8","A proposed vision for reform
A study on the water situation in Iraq
 
Introduction
As a country at the mouth of the Tigris and Euphrates rivers, Iraq faces a complex water crisis that is considered one of the most serious national challenges that threaten economic, social, and health security.
This crisis is the result of a combination of regional factors (reducing water releases from upstream countries) https://t.co/WSgZrUtQr8"
1991849543776797117,Fri Nov 21 12:41:52 +0000 2025,"ثِقَلُ الديون وتراكمُها لم يعد ملفا يمكن تأجيله… بل جرس إنذار يفرض علاجا شجاعا يعيد هيكلة الإنفاق، ويُنعش الاقتصاد، ويمنح الدولة قدرة حقيقية على النهوض واستمرار التنمية.
رؤيتنا واضحة: الإصلاح المالي يبدأ من ضبط الهدر، وتنويع الموارد، واستعادة ثقة المواطن بأن المال العام أمانة لا",71,6,21,"ثِقَلُ الديون وتراكمُها لم يعد ملفا يمكن تأجيله… بل جرس إنذار يفرض علاجا شجاعا يعيد هيكلة الإنفاق، ويُنعش الاقتصاد، ويمنح الدولة قدرة حقيقية على النهوض واستمرار التنمية.
رؤيتنا واضحة: الإصلاح المالي يبدأ من ضبط الهدر، وتنويع الموارد، واستعادة ثقة المواطن بأن المال العام أمانة لا","The weight of debt and its accumulation is no longer an issue that can be postponed... but rather an alarm bell that imposes a courageous solution that restructures spending, revives the economy, and gives the state a real ability to rise and continue development.
Our vision is clear: financial reform begins with controlling waste, diversifying resources, and restoring citizen confidence that public money is not a trust."
1991770832075657330,Fri Nov 21 07:29:06 +0000 2025,"عن #أمير_المؤمنين (ع):
"" ذِكْرُنَا أَهْلَ الْبَيْتِ شِفَاءٌ مِنَ الْوَعْكِ وَ الْأَسْقَامِ وَ وَسْوَاسِ الرَّيْبِ وَ حُبُّنَا رِضَى الرَّبِّ تَبَارَكَ وَ تَعَالَى..""

#جمعتكم_عافية_وأمان",54,3,8,"عن #أمير_المؤمنين (ع):
"" ذِكْرُنَا أَهْلَ الْبَيْتِ شِفَاءٌ مِنَ الْوَعْكِ وَ الْأَسْقَامِ وَ وَسْوَاسِ الرَّيْبِ وَ حُبُّنَا رِضَى الرَّبِّ تَبَارَكَ وَ تَعَالَى..""

#جمعتكم_عافية_وأمان","On the authority of the Commander of the Faithful (peace be upon him):
“Our remembrance, Ahl al-Bayt, is a cure for sickness, ailments, and the obsession of doubt, and our love pleases the Lord, Blessed and Most High..”

#Have a healthy and safe gathering"
1991507853421494733,Thu Nov 20 14:04:07 +0000 2025,"هنالك خطوات كثيرة يمكن للحكومة القادمة أن تعتمدها للخروج من الأزمة المالية الحالية، وتعزيز إيراداتها بشكل مدروس ومسؤول، من دون اللجوء إلى رفع سعر صرف الدولار، حفاظا على المواطنين وتجنيبهم المزيد من الضغوطات المعيشية.

إن مواجهة التحديات الاقتصادية لا تتطلب قرارات مؤلمة بقدر ما",78,6,23,"هنالك خطوات كثيرة يمكن للحكومة القادمة أن تعتمدها للخروج من الأزمة المالية الحالية، وتعزيز إيراداتها بشكل مدروس ومسؤول، من دون اللجوء إلى رفع سعر صرف الدولار، حفاظا على المواطنين وتجنيبهم المزيد من الضغوطات المعيشية.

إن مواجهة التحديات الاقتصادية لا تتطلب قرارات مؤلمة بقدر ما","There are many steps that the next government can adopt to get out of the current financial crisis, and enhance its revenues in a thoughtful and responsible manner, without resorting to raising the dollar exchange rate, in order to preserve citizens and spare them from further living pressures.

Facing economic challenges does not require painful decisions as much"
1989662539077058605,Sat Nov 15 11:51:30 +0000 2025,"أتقدّم بخالص #التهاني_والتبريكات
إلى الإخوة الأعزاء:
الدكتور علي حاتم الحسن
والأخ العزيز مصطفى سند 
والدكتور علي صابر الكناني 
والأخ أحمد شهيد

بمناسبة نيلهم #ثقة_أبناء_شعبنا. 
متمنّيًا لهم دوام التوفيق والسداد
في خدمة العراق وأهله. 
وأن يجعل مسيرة العمل النيابي صفحةً مشرّفة في https://t.co/WkT4U8DYww",196,12,30,"أتقدّم بخالص #التهاني_والتبريكات
إلى الإخوة الأعزاء:
الدكتور علي حاتم الحسن
والأخ العزيز مصطفى سند 
والدكتور علي صابر الكناني 
والأخ أحمد شهيد

بمناسبة نيلهم #ثقة_أبناء_شعبنا. 
متمنّيًا لهم دوام التوفيق والسداد
في خدمة العراق وأهله. 
وأن يجعل مسيرة العمل النيابي صفحةً مشرّفة في https://t.co/WkT4U8DYww","I extend my sincere #congratulations and blessings
To my dear brothers:
Dr. Ali Hatem Al-Hassan
And dear brother Mustafa Sanad 
And Dr. Ali Saber Al-Kanani 
And brother Ahmed is a martyr

On the occasion of gaining the #trust_of_our_people. 
Wishing them continued success and prosperity
In the service of Iraq and its people. 
And to make the process of parliamentary work an honorable page on https://t.co/WkT4U8DYww"
1988856261962567970,Thu Nov 13 06:27:38 +0000 2025,اللَّهُم صَلِّ عَلَى #مُحَمَّدٍ_وآلِ_مُحَمَّدٍ وعَجِّل فَرَجَهُمْ وسَهِّلْ مَخْرَجَهُمْ والعَنْ أعْدَاءَهم .,155,7,23,اللَّهُم صَلِّ عَلَى #مُحَمَّدٍ_وآلِ_مُحَمَّدٍ وعَجِّل فَرَجَهُمْ وسَهِّلْ مَخْرَجَهُمْ والعَنْ أعْدَاءَهم .,"O God, bless #Muhammad_and_the_family_of_Muhammad, hasten their relief, facilitate their exit, and curse their enemies."
1988708388725788768,Wed Nov 12 20:40:02 +0000 2025,"الحمد لله على كل حال،

أشكر من القلب كل من منحني ثقته وصوته، فقد نلت قرابة ٦٢٠٠ صوت من أبناء هذا الشعب الكريم حسب الإحصاءات الأولية ، وهي بالنسبة لي وسام فخر واعتزاز، وأمانة سأحملها في خدمة الناس أينما كنت.

الانتخابات كانت محطة ديمقراطية مهمة، شهدت مشاركة جماهيرية واسعة تعبّر عن",174,4,28,"الحمد لله على كل حال،

أشكر من القلب كل من منحني ثقته وصوته، فقد نلت قرابة ٦٢٠٠ صوت من أبناء هذا الشعب الكريم حسب الإحصاءات الأولية ، وهي بالنسبة لي وسام فخر واعتزاز، وأمانة سأحملها في خدمة الناس أينما كنت.

الانتخابات كانت محطة ديمقراطية مهمة، شهدت مشاركة جماهيرية واسعة تعبّر عن","Thank God anyway,

I thank from the bottom of my heart everyone who gave me their trust and their voice. I received approximately 6,200 votes from the people of this honorable people, according to preliminary statistics. For me, it is a badge of pride and pride, and a trust that I will carry in the service of people wherever I am.

The elections were an important democratic milestone, witnessing broad public participation that expressed..."
