tweet_id,username,created_at,text,replies,retweets,likes,url,year,month,date,Text_original,Text_en
1717813381242245422,ali7osain,2023-10-27 11:00:00.174,"""لقد تعرض الشعب الفلسطيني لـ 56 عاما من الاحتلال الخانق.

لقد رأوا أرضهم وهي تلتهمها المستوطنات، ويعمها العنف، واقتصادهم يخنق، وشعبهم يشرد ومنازلهم تهدم. وآمالهم في التوصل إلى حل سياسي لمعاناتهم تتلاشى.""

--الأمين العام 
@antonioguterres
 

24 تشرين الأول/أكتوبر 2023",0,0,0,https://x.com/UNarabic/status/1717813381242245422,2023,10,2023-10-27,"""لقد تعرض الشعب الفلسطيني لـ 56 عاما من الاحتلال الخانق.

لقد رأوا أرضهم وهي تلتهمها المستوطنات، ويعمها العنف، واقتصادهم يخنق، وشعبهم يشرد ومنازلهم تهدم. وآمالهم في التوصل إلى حل سياسي لمعاناتهم تتلاشى.""

--الأمين العام 
@antonioguterres
 

24 تشرين الأول/أكتوبر 2023","“The Palestinian people have been subjected to 56 years of stifling occupation.

They have seen their land devoured by settlements, wracked by violence, their economy suffocated, their people displaced and their homes demolished. “Their hopes for a political solution to their suffering are fading.”

--Secretary-General 
@antonioguterres
 

24 October 2023"
1646559111696220188,ali7osain,2023-04-13 20:00:58.474,اللهم كن لوليك الحجة بن الحسن صلواتك عليه وعلى أبائه في هذه الساعة وفي كل ساعة ولياً وحافظاً وقائداً وناصراً ودليلا وعينا حتى تسكنه أرضك طوعا وتمتعه فيها طويلا برحمتك يا أرحم الراحمين..,0,0,0,https://x.com/esteftaat/status/1646559111696220188,2023,4,2023-04-13,اللهم كن لوليك الحجة بن الحسن صلواتك عليه وعلى أبائه في هذه الساعة وفي كل ساعة ولياً وحافظاً وقائداً وناصراً ودليلا وعينا حتى تسكنه أرضك طوعا وتمتعه فيها طويلا برحمتك يا أرحم الراحمين..,"Oh God, be for your representative, the Hujjat ibn al-Hasan, your blessings be upon him and his fathers in this hour and in every hour, a guardian, a protector, a leader, a supporter, a guide, and an eye, until you make him reside in your land willingly and let him enjoy it for a long time, with your mercy, O Most Merciful of the Merciful."
1575962067617529856,ali7osain,2022-10-01 00:33:31.536,"ماتت فتاة في بلد مسلم فقامت الدنيا ولم تقعد ثم قتل العشرات من الفتيات المسلمات ظلماً في #أفغانستان فلم نسمع صوتاً، وكأن شيئا لم يقع.

#ازدواجية_المعايير
#Afghanistan 
#kabul",0,0,0,https://x.com/R_Modarresi/status/1575962067617529856,2022,10,2022-10-01,"ماتت فتاة في بلد مسلم فقامت الدنيا ولم تقعد ثم قتل العشرات من الفتيات المسلمات ظلماً في #أفغانستان فلم نسمع صوتاً، وكأن شيئا لم يقع.

#ازدواجية_المعايير
#Afghanistan 
#kabul","A girl died in a Muslim country, and the world rose and did not stop. Then dozens of Muslim girls were unjustly killed in #Afghanistan, and we did not hear a sound, as if nothing had happened.

#doublestandards
#Afghanistan 
#kabul"
1471974700888870923,ali7osain,2021-12-18 00:44:51.316,"عن عيسى ابن المستفاد الضرير عن الإمام موسى ابن جعفر ع عن أبيه عن رسول الله ص
ألا إن #فاطمة بابها بابي وبيتها بيتي،فمن هتكه فقد هتك حجاب الله
 قال عيسى فبكى أبو الحسن ع طويلا،وقطع بقية كلامه 
وقال هتك والله حجاب الله،هتك والله حجاب الله،هتك والله حجاب الله يا أمه
#عظم_الله_اجوركم",0,0,0,https://x.com/ammar_shekarchi/status/1471974700888870923,2021,12,2021-12-18,"عن عيسى ابن المستفاد الضرير عن الإمام موسى ابن جعفر ع عن أبيه عن رسول الله ص
ألا إن #فاطمة بابها بابي وبيتها بيتي،فمن هتكه فقد هتك حجاب الله
 قال عيسى فبكى أبو الحسن ع طويلا،وقطع بقية كلامه 
وقال هتك والله حجاب الله،هتك والله حجاب الله،هتك والله حجاب الله يا أمه
#عظم_الله_اجوركم","On the authority of Issa Ibn Al-Mustafad Al-Dareer, on the authority of Imam Musa Ibn Jaafar, peace be upon him, on the authority of his father, on the authority of the Messenger of God, peace be upon him
Indeed, #Fatima's door is my door and her home is my home, so whoever violates it has violated the veil of God
 Jesus said, so Abu Al-Hassan, peace be upon him, cried for a long time, and cut off the rest of his words 
He said, “You have been assaulted, by God, the veil of God. You have been assaulted, by God, the veil of God. You have been assaulted, by God, the veil of God.” O mother.
#May_Allah_great_your_rewards"
1471939716052365324,ali7osain,2021-12-17 22:25:50.281,"(ولا تقولوا للبتول أفْ)
فأنزلوا السياط والأكف
كان الجواب
هتك الحجاب
.
عظم الله أجر بقية الله في أرضه وأجوركم باستشهاد سيدة النساء فاطمة عليها السلام.
.
#الفاطمية 
#اللهم_عجل_لوليك_الفرج",0,0,0,https://x.com/OssailyAmily/status/1471939716052365324,2021,12,2021-12-17,"(ولا تقولوا للبتول أفْ)
فأنزلوا السياط والأكف
كان الجواب
هتك الحجاب
.
عظم الله أجر بقية الله في أرضه وأجوركم باستشهاد سيدة النساء فاطمة عليها السلام.
.
#الفاطمية 
#اللهم_عجل_لوليك_الفرج","(And do not say to the virgin, “F!”)
So they brought down the whips and the palms
was the answer
Indecent assault on the hijab
.
May God increase the reward of the rest of God on His earth and your reward with the martyrdom of the Lady of Women, Fatima, peace be upon her.
.
#Fatimiya 
#Oh God, please fasten relief for us"
1449047871890890752,ali7osain,2021-10-15 19:21:49.323,لا حول ولا قوة الا بالله,0,0,0,https://x.com/ali7osain/status/1449047871890890752,2021,10,2021-10-15,لا حول ولا قوة الا بالله,There is no power nor strength except in God
1446601782734565380,ali7osain,2021-10-09 01:21:56.222,"Shias are getting killed because they love Ahlulbayt and they will not surround themselves and faith to the enemy. They will govern eventually; sooner or later.

“ We laid it down in all the books of divine wisdom that My righteous servants shall inherit the earth”

#Kanduz",0,0,0,https://x.com/MaarefAlQuran/status/1446601782734565380,2021,10,2021-10-09,"Shias are getting killed because they love Ahlulbayt and they will not surround themselves and faith to the enemy. They will govern eventually; sooner or later.

“ We laid it down in all the books of divine wisdom that My righteous servants shall inherit the earth”

#Kanduz","Shias are getting killed because they love Ahlulbayt and they will not surround themselves and faith to the enemy. They will govern eventually; sooner or later.

“ We laid it down in all the books of divine wisdom that My righteous servants shall inherit the earth”

#Kanduz"
1446580953128779783,ali7osain,2021-10-08 23:59:10.057,"#Shiagenocide #KunduzBlast
#hazaragenocide 
#ShiaGenocide
#Hazara

لا يزال أتباع ابن مُلجم(و من يستخدمهم) على نهجهِ و غَدرهِ.. وسيبقى أتباع #علي (ع) على عهد الولاء مهما غلى الثمن

أشهدُ أنَّ عَلَيِّاً وَلِيُّ اللَّه
مِحراب مسجد سيد أباد #افغانستان #قندوز",0,0,0,https://x.com/AHLULBAYT_TV/status/1446580953128779783,2021,10,2021-10-08,"#Shiagenocide #KunduzBlast
#hazaragenocide 
#ShiaGenocide
#Hazara

لا يزال أتباع ابن مُلجم(و من يستخدمهم) على نهجهِ و غَدرهِ.. وسيبقى أتباع #علي (ع) على عهد الولاء مهما غلى الثمن

أشهدُ أنَّ عَلَيِّاً وَلِيُّ اللَّه
مِحراب مسجد سيد أباد #افغانستان #قندوز","#Shiagenocide #KunduzBlast
#genocidehazard 
#ShiaGenocide
#Hazara

Don't stop following Ibn Muljam (and whoever uses them) on his path and treachery

I testify that it is on Allah and on Him
Mehrab of Syed Abad Mosque #Afghanistan #Kunduz"
1446395756643069952,ali7osain,2021-10-08 11:43:15.774,"1/ ربيع الاول 
مبيت الامام علي بن ابي طالب (عليه السلام) في فراش النبي الاكرم (صلى الله عليه واله )",0,0,0,https://x.com/imamhussainorg/status/1446395756643069952,2021,10,2021-10-08,"1/ ربيع الاول 
مبيت الامام علي بن ابي طالب (عليه السلام) في فراش النبي الاكرم (صلى الله عليه واله )","1/ Rabi’ al-Awwal 
Imam Ali bin Abi Talib’s (peace be upon him) sleep in the bed of the Noble Prophet (may God’s prayers and peace be upon him and his family)"
1437725308954816512,ali7osain,2021-09-14 13:29:59.956,"Imam Hassan was fasting on a hot summer day. To break his fast, his wife Jo’dah brought him milk mixed with poison. The type of poison (provided by Mu’awyah) is a mystery, but it was such that as soon as he drank it, he sent for his brother, saying “hurry to me before I die”!",0,0,0,https://x.com/SayedModarresi/status/1437725308954816512,2021,9,2021-09-14,"Imam Hassan was fasting on a hot summer day. To break his fast, his wife Jo’dah brought him milk mixed with poison. The type of poison (provided by Mu’awyah) is a mystery, but it was such that as soon as he drank it, he sent for his brother, saying “hurry to me before I die”!","Imam Hassan was fasting on a hot summer day. To break his fast, his wife Jo’dah brought him milk mixed with poison. The type of poison (provided by Mu’awyah) is a mystery, but it was such that as soon as he drank it, he sent for his brother, saying “hurry to me before I die”!"
